bit_index,mac_auroc_all,mac_auroc_novel,axis2_ood_auroc,mac_bit_prevalence
147,0.6834765814851763,0.5529438849775719,0.8093685293434772,0.20141116100064144
148,0.7795887869731011,0.695989950874498,0.8053970411746072,0.3976908274534958
149,0.6693343482998462,0.58984593837535,0.7152588059942941,0.2026940346375882
150,0.7799629092081923,0.7395648400205151,0.8086060386371703,0.849903784477229
151,0.7156733182300129,0.6450685537372844,0.8627704161997277,0.31494547787042976
152,0.594163999947324,0.5036263436318026,0.8038863747265993,0.5073765234124439
153,0.7484546253693936,0.6831965344277245,0.7471565825476123,0.9025016035920462
154,0.7049094606626731,0.6464217985826928,0.722387960344865,0.8062860808210391
155,0.8207021038217353,0.7784756133435312,0.9429007946862024,0.8883899935856319
156,0.7623326286116984,0.5987249449050268,0.8123820566466491,0.9172546504169339
157,0.7897101687438915,0.6648453132214869,0.8896678554713038,0.8935214881334188
158,0.8132376081825334,0.7030358298523268,0.8612624548700979,0.9204618345093009
159,0.7123122175803565,0.6110375017861087,0.7924340553124494,0.5933290570878769
160,0.8449871384653993,0.7314011274291647,0.9764543108554276,0.9294419499679282
161,0.788974959793298,0.7412718285796261,0.8294359714670286,0.517639512508018
162,0.7824651576554315,0.7488081710486789,0.6701679554852791,0.4842847979474022
163,0.8339264895379517,0.6302164502164502,0.8597559131454379,0.9724182168056447
164,0.7652297999652823,0.742820482294271,,0.5907633098139833
165,,,,0.0
